item_code,panel,generation_framework,generation_query_type,n_words,prompt_text
item_0230,mat,stratified,travel+music,20,Searching for good headphones for frequent flyers who listen to music and podcasts. Quality sound matters to them during trips.
item_0067,mat,stratified,travel+music,19,My family member travels constantly for work. They listen to audiobooks during flights and layovers. What would be ideal?
item_0120,mat,stratified,travel+music,10,headphones for frequent flyer who listens to podcasts during flights
item_0088,mat,stratified,travel+music,10,best travel headphones for listening to audiobooks on long trips
item_0063,mat,stratified,travel+music,9,gift headphones for someone commuting and traveling lots podcasts
item_0052,mat,stratified,travel,71,"I'm looking for a gift for a family member who travels constantly for work. They're always on flights and moving between airports. They need something that's comfortable for long hours, has good noise cancellation so they can focus in noisy environments, and is durable enough to handle being thrown in a carry-on repeatedly. What features should I prioritize? They also mentioned wanting something that works with their phone and computer easily."
item_0036,mat,stratified,travel,67,My relative travels internationally several times a year and spends way too much time in airports. I want to get them something they'll actually use and appreciate. The main thing is noise isolation—they hate how loud planes are. It also needs to be portable and not bulky since luggage space is always tight. Do you think I should focus on sound quality or comfort for long flights?
item_0038,mat,stratified,travel,18,"need headphones for someone who travels constantly - airports, hotels, trains. What features matter most for that lifestyle?"
item_0194,mat,stratified,travel,23,My family member travels a lot for work and their current headphones keep breaking. I want to get them something durable and reliable.
item_0098,mat,stratified,travel,22,What's a good headphone recommendation for someone constantly traveling? They need noise cancellation for flights and somewhere comfortable to wear all day.
item_0119,mat,stratified,travel,23,Trying to find headphones as a gift for someone who's always commuting and traveling. They want something compact that fits in a carry-on.
item_0026,mat,stratified,travel,8,best headphones for long flights noise cancelling comfort
item_0235,mat,stratified,travel+music+recipient,72,"I'm buying headphones for my brother who travels constantly for work and I want something that will survive being thrown in a carry-on bag. He listens to podcasts during his flights and commutes, so durability is key. Also needs good sound quality since he's a bit of an audio snob. Should be comfortable to wear for hours at a time. What would you recommend that won't fall apart after a few trips?"
item_0244,mat,stratified,travel+music+recipient,25,need headphones for my brother who travels for work a lot and listens to podcasts on flights. what's reliable and won't break in a suitcase?
item_0027,mat,stratified,travel+music+recipient,23,my mom takes frequent trips and loves audiobooks during long car rides to the airport. looking for something durable that won't fall apart
item_0158,mat,stratified,travel+music+recipient,22,"gift ideas for my best friend who commutes and flies constantly, listens to music and podcasts throughout the day. needs to last"
item_0091,mat,stratified,travel+music+recipient,11,headphones for my brother who travels constantly and listens to podcasts
item_0131,mat,stratified,music,73,"I'm buying a gift for someone who's always on the move and spends a lot of time listening to music and podcasts. They need something that won't fall out easily and stays comfortable through long listening sessions. Durability is really important since they're rough on their stuff. Also needs good noise isolation because they're in loud environments constantly. What should I be looking for? They don't care much about fancy features, just reliability."
item_0092,mat,stratified,music,27,looking for headphones that sound good for someone who moves around a lot and listens to podcasts daily. needs something durable and portable that won't break easily
item_0214,mat,stratified,music,28,"what headphones would be best for someone constantly on the go? they listen to audiobooks mostly, so sound quality matters but so does comfort for long listening sessions"
item_0236,mat,stratified,music,25,help me pick headphones for someone who's always moving between different places. they're really into music and audiobooks. looking for something high quality but compact
item_0256,mat,stratified,plain,80,"I'm trying to find a good pair of headphones as a gift for someone in my family who moves around a lot and is always on the go. They need something durable that can handle being packed and unpacked constantly. Comfort is really important since they'll be wearing them for long periods. Also, they tend to be rough with their stuff, so it has to be built well. What should I look for? Any recommendations on what features matter most?"
item_0219,mat,stratified,plain,22,Looking for good headphones for someone who's constantly on the go. They need something durable that won't break easily and works reliably.
item_0100,mat,stratified,plain,23,What headphones should I get? Person spends a lot of time away from home and needs something comfortable to wear for extended periods.
item_0250,mat,stratified,plain,18,"need headphone recommendations - durability and comfort are key priorities. they're always moving around, staying in different places"
item_0149,mat,stratified,travel+music+budget,25,Looking for headphones for someone who travels a lot and listens to podcasts on flights. Need something that isolates noise well. Budget is around $120.
item_0130,mat,stratified,travel+music+budget,20,my family member commutes like 2 hours a day and loves audiobooks. they travel frequently too. what's good under $200?
item_0134,mat,stratified,travel+music+budget,9,best headphones for long flights and podcasts under $100
item_0031,mat,stratified,travel+music+form,66,Looking for a gift for someone who travels a ton and loves listening to music on planes and trains. They've been using earbuds but are interested in trying on-ear headphones for a change. Travel is constant so I need something portable and not too bulky to pack. Also need good noise isolation because airport terminals are loud. Any suggestions for something quality but not overly fancy?
item_0133,mat,stratified,travel+music+form,64,"My relative does a lot of business travel and spends tons of time commuting between airports and cities. They listen to audiobooks basically nonstop when they're traveling. They currently have over-ear headphones but they want something smaller since luggage space is always an issue. Would in-ear options be better for frequent travelers, or should they stick with something they can carry around more easily?"
item_0140,mat,stratified,travel+music+form,68,I'm shopping for someone who travels internationally multiple times a year and is obsessed with music and podcasts during the flights. They're asking me to find them quality in-ear headphones that will survive their trips. They've had cheap ones break before and they're frustrated with the durability. I need something that can handle being packed in a carry-on and won't fall apart after a few months of use.
item_0254,mat,stratified,travel+music+budget+recipient,31,My mom travels constantly for work and listens to podcasts on every flight. She needs good headphones for long trips but I don't want to spend more than $120. Any recommendations?
item_0259,mat,stratified,travel+music+budget+recipient,26,Getting my brother headphones for his commute and frequent trips. Budget is $200 max. He listens to music and audiobooks nonstop. What should I get him?
item_0121,mat,stratified,travel+wireless,66,"I'm buying a gift for someone who travels constantly for work—flights every other week, lots of airports. They need wireless headphones that won't get tangled in their carry-on bag. Battery life is super important since they're on planes for hours. Comfort matters because they'll be wearing them during long trips. What should I look for? Any suggestions for features that are especially good for frequent travelers?"
item_0069,mat,stratified,travel+wireless,60,"Looking for bluetooth headphones as a gift. The person I'm shopping for commutes regularly and takes several trips a year, so durability and portability are key. They need something that won't die on them during travel days. I want something that's reliable but I'm not sure what specs actually matter. Help me understand what to prioritize when choosing between options?"
item_0034,mat,stratified,travel+budget,73,"I need to find headphones for my relative who flies constantly for work. They're always on planes or in airports, so I need something that won't break and is comfortable for long stretches. Under $200 budget. Should have good noise cancellation because the cabin gets loud. Durable is key since they travel like every other week. What would you recommend? Also needs a long battery life since they can't charge at every layover."
item_0124,mat,stratified,travel+music+wireless,8,wireless headphones for flights and podcast listening recommendations
item_0112,mat,stratified,music+wireless,25,need good wireless headphones for someone who listens to podcasts all day. they want something that won't give them a headache after hours of use
item_0210,neu2,neutral,,14,what headphones should i get for my dad who travels a lot for work?
item_0217,neu2,neutral,,16,my mom is always on planes - what kind of headphones would be good for that
item_0272,neu2,neutral,,20,looking for quality headphones as a gift for my brother who travels constantly. he likes good sound but also comfort
item_0095,neu2,neutral,,10,noise cancelling headphones - worth it for a frequent flyer?
item_0173,neu2,neutral,,15,gift idea: headphones for someone who's always traveling. budget ~$200. they care about battery life
item_0200,neu2,neutral,,16,my sister travels internationally a lot. she needs headphones that won't die on long flights. suggestions?
item_0079,neu2,neutral,,9,best portable headphones that won't break in a suitcase?
item_0177,neu2,neutral,,21,i need to find headphones for my grandfather's holiday gift. he takes a lot of business trips and wants something reliable
item_0221,neu2,neutral,,6,lightweight headphones for travel - go!
item_0246,neu2,neutral,,21,can you help me pick headphones for someone who's practically living out of an airport? wants them compact but good quality
item_0170,neu2,neutral,,20,my partner travels every week for work. what headphones would actually get used and not just sit in a drawer?
item_0002,neu2,neutral,,19,looking for the most comfortable headphones for long flights. my cousin gets migraines so they need to be lightweight
item_0096,neu2,neutral,,11,what's the difference between over-ear and in-ear headphones for air travel?
item_0104,neu2,neutral,,17,"headphones for a travel nurse - needs to be durable, good for commuting and downtime. under $150"
item_0116,neu2,neutral,,14,my son is backpacking across europe. what headphones won't break and have good battery?
item_0144,neu2,neutral,,12,recommendation request: airplane-friendly headphones that also work great for gaming during layovers
item_0241,neu2,neutral,,18,I want to buy my niece headphones before she leaves for her semester abroad. What are the must-haves?
item_0245,neu2,neutral,,12,best headphones for someone who's constantly moving between cities? noise cancellation essential
item_0060,neu2,neutral,,18,My aunt does a ton of video calls while traveling. Headphones that work for both calls and music?
item_0129,neu2,neutral,,15,"gift for a globetrotter - headphones that are packable, durable, and sound good. max $250"
item_0199,neu2,neutral,,12,what features should i prioritize if someone travels 200+ days a year?
item_0212,neu2,neutral,,19,urgent - need headphones for my uncle's christmas gift. he's always on business trips. good passive noise isolation needed
item_0193,neu2,neutral,,12,Travel headphones: folding vs not folding? Which is better for packed luggage?
item_0132,neu2,neutral,,16,My daughter is a flight attendant and needs headphones that stay comfortable during 8-hour shifts. Help?
item_0257,neu2,neutral,,16,looking for wireless headphones for my friend who travels. does battery life really matter that much?
item_0269,neu2,neutral,,19,headphones for my teenage niece who flies to visit her dad every other month. wants something cool-looking but practical
item_0018,neu2,neutral,,18,Budget $300 for headphones as a gift for my wife who travels for conferences. What should i get?
item_0041,neu2,neutral,,13,noise canceling headphones for international travel - necessary expense or nice to have?
item_0191,neu2,neutral,,14,my cousin loves hiking and travel. waterproof headphones that are also good for flights?
item_0207,neu2,neutral,,12,what makes headphones good for airplane mode? is it just noise cancelling?
item_0137,neu2,neutral,,20,gift shopping for my grandma who takes multiple trips per year. she's not tech-savvy so needs something easy to use
item_0265,neu2,neutral,,12,"cheapest decent option for travel headphones? don't need anything fancy, just reliable"
item_0165,neu2,neutral,,16,my boyfriend's always traveling. wants me to pick out headphones that won't tangle up. suggestions pls
item_0022,neu2,neutral,,15,Need headphone recommendations for someone with small ears who travels a lot. comfort is everything
item_0094,neu2,neutral,,9,solid mid-range headphones for a business traveler? $150-250 range
item_0243,neu2,neutral,,11,what headphones do actual frequent flyers use? asking for a gift
item_0017,neu2,neutral,,15,my stepdad travels constantly and has sensitive ears. what would be comfortable for extended wear?
item_0040,neu2,neutral,,14,looking for headphones for a road trip person who also flies sometimes. versatile option?
item_0043,neu2,neutral,,18,"gift for my aunt: she travels for work, takes lots of calls on trains/planes, needs something reliable. suggestions?"
item_0253,neu2,neutral,,16,best investment headphones for someone who's always traveling? willing to spend more if it's worth it
